"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDS60","OUT027",4621.52587601293
"NCO06","OUT017",700.917059670238
"FDO16","OUT035",1509.7223179546
"FDC60","OUT049",1403.94592260149
"FDA48","OUT018",3072.77860643006
"FDZ36","OUT027",4985.21088604555
"FDK27","OUT045",1903.49798699047
"FDW23","OUT018",649.238119815903
"FDM14","OUT018",1486.03223118351
"FDM14","OUT013",1699.6349124139
"FDW60","OUT018",2627.2669837204
"FDE21","OUT013",1963.35518142867
"NCM42","OUT035",1775.22339040461
"FDY59","OUT010",288.491719003987
"DRI49","OUT049",1259.79917104211
"FDT28","OUT019",302.240630391152
"FDQ22","OUT018",649.238119815903
"FDR60","OUT049",1271.80031591551
"FDC50","OUT019",294.291724484
"FDV24","OUT013",2434.32976604387
"DRF48","OUT010",332.342087669799
"FDQ47","OUT046",721.946857878859
"DRN36","OUT049",1598.82356738947
"NCY06","OUT035",2019.16107256292
"FDE52","OUT035",1492.91761648303
"NCB54","OUT045",1827.51997281373
"NCF31","OUT035",2546.71136880398
"FDJ08","OUT027",5008.16183571581
"NCC07","OUT017",1762.46226730301
"NCD19","OUT027",1643.80495872232
"FDL46","OUT049",2031.82271427485
"FDM20","OUT045",3886.79969859403
"NCI06","OUT010",318.135175157122
"DRM11","OUT035",4352.8862578854
"NCH07","OUT018",2263.54662173678
"FDS23","OUT013",1927.17840911511
"FDO49","OUT018",721.188648432105
"FDS35","OUT049",1108.7547729092
"DRK39","OUT045",1353.05512482554
"DRI39","OUT049",900.180720731426
"FDV04","OUT017",2615.84615674889
"NCN14","OUT035",3271.09441908131
"FDH08","OUT013",3918.87142851389
"FDS20","OUT046",3097.25631261484
"FDV40","OUT049",1236.13452092108
"FDZ48","OUT010",405.363594696218
"FDS24","OUT027",2180.0498420197
"FDK44","OUT049",2956.87630716939
"FDS48","OUT045",2401.67726575316
"FDK26","OUT010",330.136320030518
"FDD23","OUT045",3057.36561884441
"NCH54","OUT017",2659.74188698809
"NCP14","OUT010",399.162455302835
"FDM60","OUT010",12.3545254161556
"FDV24","OUT017",2529.07011365482
"FDH08","OUT018",3399.17252880523
"FDS12","OUT027",3187.11235222665
"FDR39","OUT027",4867.45365542757
"FDP12","OUT027",1311.15711675805
"DRF60","OUT027",6242.12064068443
"FDC09","OUT035",1850.78704219776
"FDF50","OUT018",2767.28785107976
"FDG28","OUT035",4037.33601192143
"NCE19","OUT017",868.735749073461
"NCM53","OUT010",393.362449822822
"NCN18","OUT049",1804.82142399945
"FDF32","OUT035",3375.8032450846
"FDF11","OUT013",4011.96727274694
"DRI59","OUT049",3799.38768010039
"NCG54","OUT035",2897.51216370721
"FDM44","OUT046",1664.99209692933
"FDT57","OUT018",3532.38809950111
"FDV24","OUT046",2460.51822934901
"FDI50","OUT019",870.754104348885
"FDS09","OUT035",807.832698261783
"NCC31","OUT027",3744.30537399915
"FDQ07","OUT019",642.504212444719
"FDC22","OUT017",3286.28889888307
"FDZ56","OUT046",2809.06716441788
"FDZ40","OUT019",36.9098647589014
"FDS46","OUT027",3217.98006912214
"DRD24","OUT045",2103.66334128576
"FDV45","OUT017",3270.6745943942
"FDL26","OUT045",2402.85652906023
"FDA56","OUT018",1641.16841708728
"FDN27","OUT046",1615.70197119497
"FDM20","OUT049",4166.22460902528
"FDO16","OUT017",1456.40838739629
"FDL03","OUT035",3360.72829287084
"FDE58","OUT046",1911.52915413348
"FDI02","OUT027",2723.82801820711
"NCC55","OUT019",6.15338602277303
"FDR03","OUT018",3093.85577601946
"FDB14","OUT017",1444.89942164734
"FDR45","OUT013",3991.49855522922
"NCN07","OUT017",2048.58762033902
"FDM51","OUT019",434.734612174591
"FDT52","OUT027",6231.52785011592
"FDL26","OUT046",2466.31823482902
"NCZ42","OUT046",3881.47274284237
"DRI47","OUT019",308.040635871165
"FDW40","OUT013",2155.5355175817
"FDN34","OUT046",2809.06716441788
"FDS01","OUT035",3206.62999086844
"NCG55","OUT045",1829.06727528145
"FDC11","OUT035",1534.58702134793
"FDX35","OUT018",3284.47813186309
"NCB06","OUT046",2547.29427244308
"FDR09","OUT019",1115.67450898352
"FDC53","OUT017",1639.79038613077
"FDY45","OUT013",4104.69010449566
"FDA22","OUT010",436.589975230379
"FDE02","OUT035",1681.61252923366
"FDW21","OUT045",1623.33720929566
"FDV34","OUT046",1104.88666797777
"FDS59","OUT049",1733.49659343511
"NCW17","OUT017",2047.62131529224
"NCK54","OUT046",1905.3280147401
"FDG17","OUT019",903.776497360439
"FDG35","OUT017",2750.51222487922
"FDD08","OUT010",12.3545254161556
"NCO07","OUT017",3612.39158174794
"FDJ10","OUT010",439.26080581646
"FDW36","OUT017",1734.05755487142
"FDW21","OUT010",439.969446521193
"FDY19","OUT017",2003.5778293662
"DRE03","OUT013",758.536447156498
"NCC55","OUT049",703.094497547942
"FDH52","OUT010",189.41231851718
"FDO09","OUT017",4111.20205951023
"FDU43","OUT045",3886.79969859403
"FDX09","OUT010",309.73738071822
"FDH40","OUT019",276.490574130592
"FDW58","OUT017",1768.66340669639
"FDC47","OUT017",3915.0293281573
"NCR41","OUT035",1508.52973495208
"DRG49","OUT035",4066.14571686449
"FDC52","OUT027",3786.29162852457
"FDY13","OUT046",1098.33959945986
"FDY35","OUT013",721.979962940356
"FDI35","OUT017",3163.45098279225
"NCU18","OUT049",2241.42668488878
"FDY33","OUT018",2255.14882729788
"FDC15","OUT027",4196.17750232406
"FDU01","OUT049",3335.91411142845
"NCU42","OUT046",2817.46495885678
"NCV29","OUT018",2615.26583884701
"NCY30","OUT017",3313.67824065808
"FDQ46","OUT049",1752.91992064096
"FDG58","OUT027",3752.37021050538
"FDK33","OUT017",3641.91851764226
"NCD07","OUT045",1741.9673954803
"NCX29","OUT027",3726.15829452121
"NCT42","OUT013",2477.33341230775
"DRN59","OUT035",743.535975885787
"FDI44","OUT035",1360.28491833319
"FDA45","OUT049",2906.07459332958
"FDP31","OUT045",849.6190500854
"FDY01","OUT046",1830.22927981235
"FDT09","OUT018",1641.16841708728
"DRH03","OUT027",2430.12268096012
"FDA36","OUT018",2805.45679659417
"NCF31","OUT017",2546.36576518833
"FDG14","OUT049",2534.81986718324
"FDG28","OUT027",6231.52785011592
"FDU14","OUT049",4128.79875918091
"FDY47","OUT019",549.116574269386
"FDI56","OUT049",1403.94592260149
"DRD01","OUT013",866.201355108253
"FDM22","OUT046",839.218236702966
"FDH33","OUT013",710.383810578426
"DRZ24","OUT013",1916.7481847303
"NCQ38","OUT046",1700.91018292562
"FDO16","OUT027",2383.52900395719
"FDU07","OUT027",3796.9542539897
"NCB07","OUT013",3120.73663094335
"FDU48","OUT045",1839.52111768712
"NCM43","OUT045",2524.02546571899
"FDR31","OUT010",314.241775264548
"DRK49","OUT018",637.236974942508
"NCI30","OUT010",802.921693641654
"DRD60","OUT017",3080.48363664704
"NCG19","OUT046",3714.51529878106
"FDH12","OUT035",1757.38637577769
"FDM32","OUT035",1579.32569442057
"FDM27","OUT035",2587.59643969189
"NCU53","OUT027",4169.63617341116
"NCQ18","OUT046",1658.79095753595
"FDS10","OUT013",2970.06844398675
"FDB33","OUT027",4240.43213287964
"FDI12","OUT013",1358.95800238867
"NCW42","OUT013",3555.8721325362
"NCC06","OUT018",1624.39957988922
"FDW02","OUT017",2030.81661382067
"NCD43","OUT017",1762.46226730301
"FDM57","OUT018",1170.68689760624
"FDA58","OUT017",3909.1369430873
"FDK56","OUT046",3097.25631261484
"FDP52","OUT045",3576.72375265447
"FDW20","OUT018",1641.16841708728
"FDS52","OUT049",1750.30129490668
"NCT29","OUT018",1616.82019821596
"NCL54","OUT013",2827.31012416148
"FDC05","OUT045",3044.28490352543
"FDF34","OUT035",3380.42398725755
"FDP03","OUT027",3268.78986557498
"FDD32","OUT010",288.491719003987
"FDZ10","OUT045",1874.1269695121
"FDZ40","OUT035",882.652085981626
"FDD51","OUT018",655.038125295916
"NCY30","OUT019",318.135175157122
"FDP58","OUT017",3583.81587489039
"FDV49","OUT017",4272.99914937055
"FDY24","OUT019",48.911009632297
"NCO55","OUT017",1734.13177594288
"FDR13","OUT017",2033.41598886651
"FDS51","OUT017",1089.41950603926
"FDP26","OUT045",1601.01968167583
"NCB54","OUT027",3198.60799828015
"FDF32","OUT017",3316.66282687387
"FDN31","OUT018",2793.10972259625
"DRM48","OUT017",695.117054190225
"FDN20","OUT049",2933.60934337462
"DRL01","OUT046",3721.10717279778
"FDV56","OUT049",1762.30243978007
"DRH13","OUT027",2595.72070763472
"FDA03","OUT017",2558.36691006173
"FDF47","OUT027",5656.67862593928
"FDX32","OUT046",2460.51822934901
"FDX57","OUT049",1610.82471226286
"NCA30","OUT045",3027.82159612179
"FDO49","OUT013",706.129444978114
"FDL04","OUT019",393.362449822822
"DRM48","OUT035",736.477509857825
"FDR16","OUT013",3444.08547846716
"NCC19","OUT018",2801.50751703515
"NCE42","OUT045",3598.61061560038
"FDY24","OUT017",874.936888466843
"FDH19","OUT049",3024.34304940694
"FDJ46","OUT013",2847.72203466563
"FDN45","OUT010",833.804798565454
"FDY08","OUT035",2306.81849444449
"FDZ37","OUT035",1556.33317325106
"NCT30","OUT045",715.123405813453
"DRY23","OUT018",637.236974942508
"NCZ30","OUT018",1634.96727769389
"FDC44","OUT018",1624.56864007706
"FDB45","OUT035",1677.63891903683
"FDY04","OUT013",2569.4865117457
"FDM27","OUT046",2615.61244262506
"FDZ43","OUT017",4155.9898831283
"FDT39","OUT019",378.218644567896
"NCC06","OUT019",537.115429395991
"FDL15","OUT027",3796.34016181604
"FDL57","OUT017",4165.89502320846
"FDU08","OUT046",1549.89959743036
"FDK40","OUT017",4293.69701307754
"FDQ12","OUT010",850.355165036587
"FDS48","OUT017",2576.60505860202
"FDP09","OUT045",3340.44756861711
"FDW21","OUT049",1762.30243978007
"FDY25","OUT035",3172.02413904347
"DRE13","OUT017",1445.84068959162
"FDV43","OUT019",12.3545254161556
"FDD22","OUT045",1590.97147286592
"FDM46","OUT019",288.491719003987
"NCO30","OUT010",352.741026982097
"FDM25","OUT046",2832.11413482001
"NCN41","OUT049",1989.46842058877
"FDU24","OUT045",1293.7732187666
"FDZ50","OUT046",3117.65525192714
"FDP45","OUT013",4046.6190516534
"NCM54","OUT045",1833.31997829374
"FDW10","OUT019",164.954271531086
"FDP20","OUT017",2025.01660834066
"FDK32","OUT046",2460.51822934901
"FDN52","OUT049",1391.9447777281
"FDM58","OUT045",1649.07411561779
"FDZ46","OUT027",2711.53969400196
"NCA18","OUT018",1618.36750068368
"FDD35","OUT046",2016.28120837769
"NCK31","OUT035",797.346281297833
"FDI40","OUT027",2531.06713776685
"FDT50","OUT019",294.291724484
"NCT06","OUT046",2567.69321175538
"FDT31","OUT035",3364.42086442991
"FDT45","OUT049",860.783127081286
"FDT13","OUT045",3088.79939798332
"FDO50","OUT045",1353.05512482554
"NCU18","OUT010",433.059666423078
"NCR54","OUT049",3258.70060839016
"NCO18","OUT018",2635.6647781593
"FDU09","OUT045",807.704802343417
"FDT13","OUT018",2825.85573590647
"FDE09","OUT046",1703.07607724939
"NCK53","OUT019",393.362449822822
"FDG45","OUT049",3652.15324353924
"DRH15","OUT035",725.468955268175
"FDO21","OUT019",868.410650390429
"FDD14","OUT027",5028.56077502811
"FDC09","OUT046",1677.33917092726
"FDH45","OUT027",1346.45514042624
"FDV32","OUT046",1092.53959397984
"FDG12","OUT035",2038.52928480682
"FDS32","OUT013",2196.34636739815
"NCL55","OUT018",3519.65199387746
"DRE01","OUT035",3974.4931307992
"DRE15","OUT049",1335.70296414739
"NCL42","OUT045",3675.13099588706
"FDP31","OUT013",913.628428998498
"FDN33","OUT018",1170.68689760624
"FDZ59","OUT046",2559.29541731648
"FDE45","OUT010",309.73738071822
"FDJ07","OUT013",1992.72619890704
"FDQ45","OUT018",2805.45679659417
"FDM33","OUT027",5371.50839945153
"FDO15","OUT010",352.468588307336
"FDM46","OUT013",1387.76770733173
"FDR03","OUT045",3365.92542386005
"FDY49","OUT018",2287.8948406081
"FDQ60","OUT045",1811.77162374793
"FDW10","OUT049",2841.83082676033
"FDO51","OUT049",738.666654419698
"FDJ40","OUT018",1430.14710051004
"FDS20","OUT018",2793.10972259625
"FDU45","OUT013",1707.94917872168
"FDV02","OUT035",2939.49841823264
"FDN09","OUT046",3845.58816174779
"NCM55","OUT027",4996.43482404598
"FDN23","OUT018",2162.17164481042
"FDY31","OUT010",314.241775264548
"FDW03","OUT010",434.734612174591
"FDD14","OUT046",3117.65525192714
"FDV23","OUT017",2007.31982289378
"DRI03","OUT045",2788.26317578843
"FDN13","OUT035",1799.26873890288
"FDF45","OUT027",1828.29082292165
"FDU46","OUT035",1520.54805811902
"FDB57","OUT049",3796.63890618867
"FDV12","OUT049",1762.30243978007
"FDQ58","OUT013",2512.34425664419
"NCA18","OUT017",1997.37668997281
"FDH52","OUT049",1053.64819064642
"FDM24","OUT018",2156.37163933041
"NCP43","OUT027",4818.24501117221
"NCO18","OUT019",318.135175157122
"FDM32","OUT017",1497.2020589192
"NCL07","OUT017",754.18600198888
"FDK03","OUT013",4038.20828602264
"FDP59","OUT017",1566.7094371905
"FDQ24","OUT049",4045.64299558135
"FDQ16","OUT018",1430.14710051004
"FDU44","OUT013",2610.29736156216
"FDH28","OUT010",0.353380542760084
"FDV28","OUT019",0.353380542760084
"FDM22","OUT045",750.61042324639
"FDR56","OUT046",3143.24454509451
"FDV39","OUT049",3352.37540801379
"FDU37","OUT019",294.291724484
"FDQ11","OUT010",941.149686495702
"FDX02","OUT045",3617.37205942135
"NCS42","OUT018",1164.48575821286
"FDY57","OUT027",2387.30340584631
"FDB21","OUT049",4074.57202295999
"FDE28","OUT017",3903.0281832839
"FDQ55","OUT017",1951.08380139002
"FDA48","OUT049",3685.43831554411
"FDZ19","OUT045",2709.76159372426
"NCC43","OUT045",3662.63706026625
"NCV18","OUT046",1387.32960975876
"NCA42","OUT018",2265.32599793003
"FDY45","OUT046",4073.06147597747
"NCC30","OUT045",2858.05563277946
"FDM57","OUT013",1387.76770733173
"FDL09","OUT010",413.018963232018
"FDB09","OUT027",3269.40395774864
"FDT44","OUT035",2039.22145665003
"NCT06","OUT027",4177.68803872553
"FDX26","OUT049",3301.30825960347
"FDK32","OUT013",2463.13947098693
"DRA12","OUT046",2167.12504705455
"FDO46","OUT010",344.343232543195
"FDE52","OUT013",1364.75800786868
"NCH42","OUT045",3591.93617136706
"FDV08","OUT035",796.013599678422
"FDB47","OUT018",3090.63669860357
"FDC28","OUT010",393.362449822822
"FDD22","OUT046",1824.42927433233
"FDS07","OUT027",3137.36850804612
"DRI13","OUT045",3393.03738522072
"FDG32","OUT018",3235.122361253
"FDU14","OUT017",4118.56403328393
"FDD28","OUT019",94.0042438559274
"NCP41","OUT017",1756.662261823
"FDS08","OUT049",2980.37309809629
"FDX47","OUT045",2486.24754120795
"FDC53","OUT019",427.968301647797
"FDQ19","OUT035",4317.97381371445
"FDL14","OUT045",2402.85652906023
"FDM33","OUT019",751.750019374973
"FDA51","OUT045",1760.45685907883
"FDZ27","OUT018",703.941683509981
"FDT04","OUT046",704.145707525451
"DRC13","OUT049",1989.46842058877
"FDR16","OUT027",5301.94601264103
"FDQ03","OUT027",6146.85288418537
"FDE38","OUT035",2730.88345007222
"DRH23","OUT027",1665.05547289452
"FDT11","OUT019",330.136320030518
"FDD09","OUT035",3186.23105155614
"FDR40","OUT045",1369.85982629711
"FDX07","OUT017",3305.28044621917
"FDR07","OUT035",1526.16119151962
"FDA51","OUT017",1898.78116411816
"FDT59","OUT019",894.792258369188
"FDF20","OUT017",3316.66282687387
"FDR13","OUT045",1807.99180402603
"FDY26","OUT049",3637.94633102656
"FDW04","OUT017",2013.01546346726
"FDK52","OUT017",3926.5249742108
"FDN60","OUT049",2638.08202751927
"FDM09","OUT019",309.73738071822
"FDP46","OUT049",1427.44271352839
"FDB50","OUT019",294.291724484
"NCQ29","OUT049",3966.51563042942
"FDP16","OUT027",6231.52785011592
"FDX33","OUT018",2255.14882729788
"FDP07","OUT010",351.220369607094
"FDN22","OUT046",3856.59101705388
"FDF39","OUT049",4152.53704313916
"FDS21","OUT017",1046.20550873524
"NCM42","OUT013",1648.25636479278
"FDK50","OUT019",433.417902544316
"DRF13","OUT027",3784.9531091163
"FDH35","OUT018",2326.1150285697
"FDP60","OUT018",1442.14824538343
"DRJ49","OUT027",3269.74988687316
"NCT42","OUT019",308.040635871165
"FDE38","OUT049",2681.97775775846
"FDI04","OUT049",3314.89640789745
"NCH54","OUT045",2474.24639633455
"FDT56","OUT049",956.776246365246
"DRD15","OUT018",3407.2243941196
"FDV58","OUT013",3055.70421800424
"FDP21","OUT049",3315.51517211615
"FDH05","OUT013",3775.29893173407
"FDR10","OUT027",4210.44702322761
"NCP06","OUT045",2360.8702745348
"FDF33","OUT049",1839.0686465319
"DRK37","OUT013",3170.8629638121
"DRH49","OUT045",1369.85982629711
"FDT58","OUT013",2610.29736156216
"FDD41","OUT018",1430.14710051004
"FDP40","OUT018",1455.88400683217
"FDM51","OUT027",2607.10776033446
"FDO45","OUT010",288.491719003987
"FDW33","OUT010",405.363594696218
"FDY24","OUT045",785.216275071366
"FDB10","OUT010",829.404932720884
"FDM40","OUT035",2266.00764462804
"NCI06","OUT017",3100.88257595933
"FDW12","OUT019",314.241775264548
"FDX48","OUT027",3723.56050556232
"NCW05","OUT027",2501.08202811481
"FDX27","OUT017",1599.4888937323
"DRM37","OUT045",3044.28490352543
"FDA38","OUT045",3873.05871068059
"FDR36","OUT046",716.146852398846
"FDZ45","OUT046",3143.24454509451
"FDG05","OUT017",2639.34294767579
"FDK28","OUT013",4073.53813107377
"FDV47","OUT045",1323.07001517351
"FDN21","OUT045",2465.84860189565
"FDP20","OUT027",3269.40395774864
"FDI35","OUT045",2879.17580597064
"DRY23","OUT013",698.38266570503
"FDA56","OUT017",2059.62246016564
"FDB09","OUT013",1950.18810857816
"NCO26","OUT027",3182.9692247857
"FDQ49","OUT018",2177.16674989818
"FDI52","OUT027",3205.09631700529
"FDZ44","OUT027",3247.96517877417
"FDZ09","OUT018",2255.14882729788
"FDY03","OUT049",1939.4880001271
"NCG42","OUT017",2018.81546894728
"DRI13","OUT027",5366.59958250891
"FDQ32","OUT013",1950.18810857816
"FDW16","OUT035",1475.11646612962
"FDU27","OUT046",782.074354093361
"FDR28","OUT010",401.017818358623
"FDQ49","OUT010",401.017818358623
"FDS37","OUT046",1917.3291596135
"FDW26","OUT018",3146.27549363504
"FDX12","OUT018",3497.50706598298
"NCP06","OUT013",2442.72756048277
"FDW45","OUT010",314.241775264548
"NCN30","OUT049",1484.6399526095
"FDN24","OUT049",837.286336154387
"NCL41","OUT027",1299.15597188465
"FDR02","OUT019",411.163600176231
"FDD09","OUT010",309.73738071822
"FDS33","OUT010",323.097570828963
"FDU22","OUT045",1816.02432676023
"FDI53","OUT013",2569.4865117457
"DRH01","OUT049",2944.87516229599
"FDX32","OUT013",2196.34636739815
"NCP30","OUT018",643.036980422521
"FDB60","OUT045",3020.7379358013
"FDB14","OUT049",1438.53845473102
"NCP02","OUT035",915.561360906633
"FDJ10","OUT017",2247.67807623376
"FDG34","OUT046",1703.07607724939
"NCB18","OUT017",1427.60254105133
"FDM16","OUT049",1114.45041348269
"FDW25","OUT018",1176.48690308626
"FDB35","OUT010",312.062731002348
"DRN11","OUT013",2161.33552306171
"FDF41","OUT019",835.620702222044
"FDH16","OUT045",1335.25397447213
"NCQ50","OUT018",3045.93654514978
"DRH23","OUT018",736.687843735688
"DRJ37","OUT013",2451.13832611353
"DRJ24","OUT027",4996.16069084242
"FDY16","OUT035",3265.50737186158
"FDQ27","OUT045",1618.10237494906
"FDZ33","OUT045",2343.57462300128
"FDF29","OUT045",1892.11093429074
"FDA08","OUT049",2661.57881844617
"FDG31","OUT046",1134.25768545614
"FDE34","OUT019",344.343232543195
"NCR30","OUT027",2046.00567061495
"FDV33","OUT035",4219.08848578747
"DRZ24","OUT018",1629.16727221388
"NCL54","OUT035",2978.88177025386
"FDR12","OUT049",2980.37309809629
"NCC54","OUT046",3765.43122173601
"DRN59","OUT013",746.535302283102
"FDX50","OUT019",411.163600176231
"FDV31","OUT027",4829.97202284205
"NCA29","OUT027",4567.79521253423
"FDW60","OUT049",3014.97894992126
"FDX08","OUT017",3305.28044621917
"DRD49","OUT013",3869.08654682257
"FDD33","OUT046",3765.10783730484
"FDW35","OUT013",721.979962940356
"FDJ36","OUT017",1710.56076394452
"FDV51","OUT035",2724.46935241855
"FDW36","OUT046",1664.99209692933
"FDH35","OUT046",2630.26161858829
"NCS30","OUT027",3180.91121283327
"FDN49","OUT017",742.512243463681
"FDL08","OUT018",3607.00371892845
"FDI09","OUT013",4080.25799698233
"FDP19","OUT018",1628.82134308935
"FDU21","OUT010",12.3545254161556
"NCP41","OUT045",1611.33606442226
"FDY10","OUT013",1707.94917872168
"FDP12","OUT018",649.238119815903
"NCN26","OUT049",2015.05387707679
"FDK44","OUT013",2847.72203466563
"FDC28","OUT049",1715.6954430817
"FDJ41","OUT027",6424.66839546159
"NCT29","OUT035",2013.36106708291
"NCH42","OUT019",858.75295947549
"FDU60","OUT018",2255.14882729788
"FDS02","OUT045",3069.80785064722
"FDC51","OUT046",1951.11501258589
"FDU03","OUT013",3192.22820817118
"FDX39","OUT045",3331.31957203508
"NCY05","OUT010",0.353380542760084
"NCL06","OUT027",6410.09465647874
"FDD32","OUT035",1418.38756108506
"NCN41","OUT045",1827.51997281373
"NCX53","OUT049",2270.23253123374
"FDU57","OUT019",314.241775264548
"FDQ23","OUT046",1683.13917640727
"FDQ52","OUT045",3725.32117849867
"FDC14","OUT045",720.553176122739
"FDY09","OUT035",3033.89953258299
"FDQ28","OUT045",2370.45644487453
"FDV25","OUT046",3545.68103810697
"FDJ07","OUT035",2096.71000722825
"DRB25","OUT049",1715.6954430817
"FDK52","OUT019",821.803653692058
"FDY52","OUT027",1886.69925115851
"FDB28","OUT046",3163.64348440681
"FDT36","OUT035",689.68384013613
"FDV25","OUT017",3719.09931988633
"NCN07","OUT027",3234.18015515191
"FDC57","OUT017",3309.78568980997
"FDQ03","OUT018",3374.51957323232
"FDU23","OUT017",2706.34888368646
"NCX41","OUT035",3630.26297638451
"NCD06","OUT035",720.039184958889
"FDW08","OUT045",1595.21967619582
"NCU29","OUT017",2575.1716115333
"NCE06","OUT013",2589.885451058
"FDV52","OUT010",527.062720903686
"FDB02","OUT017",3014.57546553191
"NCR18","OUT045",713.172773422286
"FDK16","OUT049",1478.83994712949
"NCQ29","OUT010",797.390243721541
"FDZ01","OUT019",445.769452001206
"FDW27","OUT035",2700.97256149165
"FDD17","OUT018",3439.80222007935
"FDW39","OUT013",2891.69198597629
"DRH59","OUT045",1010.07771512781
"FDS52","OUT013",1653.02405711744
"FDU40","OUT027",5061.78194828574
"NCF54","OUT013",2827.31012416148
"FDH46","OUT045",1588.73135747068
"NCP14","OUT049",1697.99865763481
"FDH50","OUT049",3335.91411142845
"DRF15","OUT010",320.041780744561
"FDV27","OUT027",2411.37868760206
"NCJ06","OUT049",1995.26842606878
"FDN02","OUT018",3057.93769002318
"FDQ51","OUT049",809.828990460815
